"site_name","year","species","acorn_count","mean_max_April_temp","mean_max_March_temp","March_rain","April_rain","March_rain_lagged1","April_rain_lagged1","mean_max_summer_temp"
"JASPER RIDGE",2008,"Q. lobata",1.724,2156,1940,1198,425,904,1391,2726
"JASPER RIDGE",2009,"Q. lobata",1.41,2246,1758,5486,676,1198,425,2642
"JASPER RIDGE",2010,"Q. lobata",0.553,1862,1820,6257,9175,5486,676,2478
"JASPER RIDGE",2011,"Q. lobata",1.738,1945,1649,17371,649,6257,9175,2472
"POZO",1994,"Q. douglasii",2.52,2163,1911,7262,3959,14438,595,3130
"POZO",1995,"Q. douglasii",1,1982,1594,33885,1649,7262,3959,2939
"POZO",1996,"Q. douglasii",3.589,2315,1844,8079,3978,33885,1649,3173
"POZO",1997,"Q. douglasii",1.362,2237,2095,23,0,8079,3978,3098
"POZO",1998,"Q. douglasii",0.446,1829,1654,8552,5149,23,0,2831
"POZO",1999,"Q. douglasii",2.886,1871,1530,11744,3701,8552,5149,2953
"POZO",2000,"Q. douglasii",2.978,2301,1772,4359,5755,11744,3701,3118
"POZO",2001,"Q. douglasii",1.832,1913,1907,11780,2018,4359,5755,3241
"POZO",2002,"Q. douglasii",1.757,2169,1816,3593,499,11780,2018,3117
"POZO",2003,"Q. douglasii",0,1817,1904,5530,3120,3593,499,3112
"POZO",2004,"Q. douglasii",1.474,2466,2353,1264,0,5530,3120,3105
"POZO",2005,"Q. douglasii",0.21,2023,1819,9323,861,1264,0,3116
"POZO",2006,"Q. douglasii",1.186,1556,1020,14258,13940,9323,861,3009
"POZO",2007,"Q. douglasii",0.913,2067,1926,636,1676,14258,13940,3020
"POZO",2008,"Q. douglasii",0.127,2011,1610,0,77,636,1676,2959
"POZO",2009,"Q. douglasii",0,1803,1509,3517,1052,0,77,2936
"POZO",2010,"Q. douglasii",0.354,1545,1405,3074,7224,3517,1052,2809
"POZO",2011,"Q. douglasii",0.055,1633,1294,19140,296,3074,7224,2616
"POZO",1994,"Q. lobata",3.551,2163,1911,7262,3959,14438,595,3130
"POZO",1995,"Q. lobata",0.688,1982,1594,33885,1649,7262,3959,2939
"POZO",1996,"Q. lobata",3.525,2315,1844,8079,3978,33885,1649,3173
"POZO",1997,"Q. lobata",1.383,2237,2095,23,0,8079,3978,3098
