"site_name","year","species","acorn_count","mean_max_April_temp","mean_max_March_temp","March_rain","April_rain","March_rain_lagged1","April_rain_lagged1","mean_max_summer_temp"
"SAN JOAQUIN",2007,"Q. douglasii",2.519,2391,2224,2220,1934,12944,14889,3534
"SAN JOAQUIN",2008,"Q. douglasii",1.105,2389,2009,322,163,2220,1934,3490
"SAN JOAQUIN",2009,"Q. douglasii",3.138,2365,1898,3325,1819,322,163,3517
"SAN JOAQUIN",2010,"Q. douglasii",0.941,1950,1864,3947,9398,3325,1819,3279
"SAN JOAQUIN",2011,"Q. douglasii",2.233,2165,1744,15145,1138,3947,9398,3237
"KAWEAH OAKS",1999,"Q. lobata",2.01,2183,1879,1802,4323,10979,6979,3260
"KAWEAH OAKS",2000,"Q. lobata",1.266,2612,2031,4705,2866,1802,4323,3421
"KAWEAH OAKS",2001,"Q. lobata",0.208,2239,2202,867,5728,4705,2866,3543
"KAWEAH OAKS",2002,"Q. lobata",2.193,2507,2077,3100,1180,867,5728,3429
"KAWEAH OAKS",2003,"Q. lobata",0,2149,2175,1808,4568,3100,1180,3436
"KAWEAH OAKS",2004,"Q. lobata",3.169,2668,2499,1731,222,1808,4568,3436
"KAWEAH OAKS",2005,"Q. lobata",0,2359,2101,6481,1525,1731,222,3429
"KAWEAH OAKS",2006,"Q. lobata",0.085,2109,1643,8919,10787,6481,1525,3478
"KAWEAH OAKS",2007,"Q. lobata",1.44,2478,2328,2386,1201,8919,10787,3460
"KAWEAH OAKS",2008,"Q. lobata",0.587,2487,2133,196,8,2386,1201,3445
"KAWEAH OAKS",2009,"Q. lobata",0.131,2473,2022,927,1382,196,8,3464
"KAWEAH OAKS",2010,"Q. lobata",1.759,2126,2014,1832,6762,927,1382,3240
"KAWEAH OAKS",2011,"Q. lobata",0,2271,1815,9012,1231,1832,6762,3181
"KAWEAH RIVER",1999,"Q. douglasii",2.918,1328,1215,5171,7551,16541,15237,2623
"KAWEAH RIVER",2000,"Q. douglasii",2.708,1904,1368,8573,7202,5171,7551,2760
"KAWEAH RIVER",2001,"Q. douglasii",0.425,1400,1403,3406,17102,8573,7202,2883
"KAWEAH RIVER",2002,"Q. douglasii",3.33,1691,1272,11655,3042,3406,17102,2764
"KAWEAH RIVER",2003,"Q. douglasii",0,1247,1378,9005,18379,11655,3042,2740
"KAWEAH RIVER",2004,"Q. douglasii",3.336,1964,1836,2992,776,9005,18379,2783
"KAWEAH RIVER",2005,"Q. douglasii",0.178,1508,1359,20878,5750,2992,776,2726
"KAWEAH RIVER",2006,"Q. douglasii",2.121,1396,690,26503,21195,20878,5750,2844
"KAWEAH RIVER",2007,"Q. douglasii",3.349,1671,1521,4899,5608,26503,21195,2813
"KAWEAH RIVER",2008,"Q. douglasii",1.081,1717,1296,1862,731,4899,5608,2805
"KAWEAH RIVER",2009,"Q. douglasii",0.462,1640,1173,6728,3731,1862,731,2811
"KAWEAH RIVER",2010,"Q. douglasii",0.617,1380,1152,9072,18342,6728,3731,2633
"KAWEAH RIVER",2011,"Q. douglasii",4.312,1532,1062,26116,1620,9072,18342,2565
